CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;LAPS;ELAPSED;GAP_FIRST;GAP_PREVIOUS;BEST_LAP_NUM;BEST_LAP_TIME;BEST_LAP_KPH;
Am;1;1;13;BSI Racing;Toyota GR86;Westin Workman;27;45:15.035;;;8;1:37.428;136.8;
Am;2;2;22;Copeland Motorsports;Toyota GR86;Jeremy Fletcher;27;45:17.775;+2.740;+2.740;7;1:37.746;136.3;
Am;3;3;72;TechSport;Toyota GR86;Ethan Goulart;27;45:25.690;+10.655;+7.915;7;1:37.737;136.3;
Am;4;4;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;27;45:26.144;+11.109;+0.454;7;1:38.094;135.8;
Am;5;5;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;27;45:29.124;+14.089;+2.980;5;1:38.326;135.5;
Am;6;6;47;TechSport;Toyota GR86;Parker DeLong;27;45:29.433;+14.398;+0.309;7;1:38.251;135.6;
Am;7;7;98;TechSport;Toyota GR86;Max Schweid;27;45:30.123;+15.088;+0.690;7;1:38.086;135.9;
Am;8;8;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;27;45:36.780;+21.745;+6.657;9;1:38.581;135.2;
Am;9;9;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;27;45:36.902;+21.867;+0.122;14;1:38.391;135.4;
Am;10;10;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;27;45:50.756;+35.721;+13.854;14;1:39.056;134.5;
Am;11;11;21;Copeland Motorsports;Toyota GR86;Ford Koch;27;45:51.568;+36.533;+0.812;21;1:38.775;134.9;
Am;12;12;111;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Isabella Robusto;27;45:51.893;+36.858;+0.325;24;1:38.944;134.7;
Am;13;13;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;27;45:52.233;+37.198;+0.340;7;1:38.542;135.2;
Am;14;14;03;Precision Racing LA;Toyota GR86;Karl Forman;27;46:03.610;+48.575;+11.377;9;1:39.167;134.4;
Am;15;15;93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Patrick Brunson;27;46:06.880;+51.845;+3.270;6;1:39.332;134.1;
Am;16;16;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;27;46:07.686;+52.651;+0.806;14;1:38.202;135.7;
Am;17;17;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;27;46:08.080;+53.045;+0.394;23;1:39.083;134.5;
Am;18;18;58;Copeland Motorsports;Toyota GR86;Liam Harrison;27;46:30.020;+1'14.985;+21.940;7;1:40.156;133.0;
Am;19;19;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;27;46:34.789;+1'19.754;+4.769;5;1:39.807;133.5;
Am;20;20;51;BSI Racing;Toyota GR86;Massimo Sunseri;27;46:39.703;+1'24.668;+4.914;12;1:39.410;134.0;
Am;21;21;18;Precision Racing LA;Toyota GR86;Rutledge Wood;26;45:28.789;1 Laps;1 Laps;19;1:41.379;131.4;
Am;22;22;88;PT Autosport with Copeland Motorsports;Toyota GR86;Max Stallone;13;26:48.684;14 Laps;13 Laps;7;1:38.845;134.8;
