CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;LAPS;ELAPSED;GAP_FIRST;GAP_PREVIOUS;BEST_LAP_NUM;BEST_LAP_TIME;BEST_LAP_KPH;
Am;1;1;13;BSI Racing;Toyota GR86;Westin Workman;28;45:37.014;;;2;1:37.350;136.9;
Am;2;2;22;Copeland Motorsports;Toyota GR86;Jeremy Fletcher;28;45:37.248;+0.234;+0.234;11;1:37.304;136.9;
Am;3;3;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;28;45:53.320;+16.306;+16.072;17;1:37.678;136.4;
Am;4;4;72;TechSport;Toyota GR86;Ethan Goulart;28;45:57.708;+20.694;+4.388;14;1:37.945;136.0;
Am;5;5;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;28;45:57.899;+20.885;+0.191;13;1:37.910;136.1;
Am;6;6;47;TechSport;Toyota GR86;Parker DeLong;28;46:01.221;+24.207;+3.322;5;1:37.968;136.0;
Am;7;7;21;Copeland Motorsports;Toyota GR86;Ford Koch;28;46:02.498;+25.484;+1.277;16;1:38.074;135.9;
Am;8;8;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;28;46:08.145;+31.131;+5.647;12;1:38.237;135.6;
Am;9;9;88;PT Autosport with Copeland Motorsports;Toyota GR86;Max Stallone;28;46:08.355;+31.341;+0.210;8;1:38.176;135.7;
Am;10;10;111;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Isabella Robusto;28;46:09.061;+32.047;+0.706;7;1:38.304;135.6;
Am;11;11;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;28;46:10.064;+33.050;+1.003;17;1:38.185;135.7;
Am;12;12;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;28;46:27.640;+50.626;+17.576;19;1:37.945;136.0;
Am;13;13;51;BSI Racing;Toyota GR86;Massimo Sunseri;28;46:28.569;+51.555;+0.929;5;1:38.345;135.5;
Am;14;14;03;Precision Racing LA;Toyota GR86;Karl Forman;28;46:30.258;+53.244;+1.689;6;1:38.920;134.7;
Am;15;15;98;TechSport;Toyota GR86;Max Schweid;28;46:55.198;+1'18.184;+24.940;15;1:37.693;136.4;
Am;16;16;18;Precision Racing LA;Toyota GR86;Rutledge Wood;27;45:46.905;1 Laps;1 Laps;7;1:40.296;132.9;
Am;17;17;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;27;46:10.709;1 Laps;+23.804;17;1:37.882;136.1;
Am;18;18;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;27;46:45.198;1 Laps;+34.489;7;1:39.010;134.6;
Am;19;19;58;Copeland Motorsports;Toyota GR86;Liam Harrison;27;47:11.758;1 Laps;+26.560;7;1:38.840;134.8;
Am;20;20;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;26;42:37.902;2 Laps;1 Laps;4;1:37.792;136.3;
Am;21;21;93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Patrick Brunson;24;46:38.638;4 Laps;2 Laps;13;1:38.961;134.7;
Am;22;22;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;24;47:35.196;4 Laps;+56.558;13;1:38.382;135.4;
