POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;46;Classified;17;45:57.575;-;-;8;2:28.630;132.5;Lucas Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Lucas;Weisenberg;;;USA;;;;;;;
2;7;Classified;17;45:58.259;+0.684;+0.684;7;2:28.678;132.5;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jaxon;Bell;;;USA;;;;;;;
3;16;Classified;17;45:58.588;+1.013;+0.329;9;2:28.726;132.4;Copeland Motorsports;Am;Legends;GR Cup;Toyota GR86;;;;;;;;;;;;John;Dean;;;USA;;;;;;;
4;55;Classified;17;45:58.880;+1.305;+0.292;10;2:28.679;132.5;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Spike;Kohlbecker;;;USA;;;;;;;
5;72;Classified;17;45:59.793;+2.218;+0.913;9;2:28.848;132.3;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Goulart;;;USA;;;;;;;
6;13;Classified;17;46:00.172;+2.597;+0.379;9;2:28.745;132.4;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Westin;Workman;;;USA;;;;;;;
7;78;Classified;17;46:02.598;+5.023;+2.426;9;2:29.293;131.9;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Ayars;;;USA;;;;;;;
8;41;Classified;17;46:03.531;+5.956;+0.933;7;2:29.262;132.0;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jenson;Sofronas;;;USA;;;;;;;
9;71;Classified;17;46:04.116;+6.541;+0.585;10;2:29.526;131.7;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Christian;Weir;;;USA;;;;;;;
10;21;Classified;17;46:04.348;+6.773;+0.232;7;2:28.989;132.2;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ford;Koch;;;USA;;;;;;;
11;98;Classified;17;46:04.367;+6.792;+0.019;16;2:29.983;131.3;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Schweid;;;USA;;;;;;;
12;88;Classified;17;46:06.979;+9.404;+2.612;16;2:29.418;131.8;PT Autosport with Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Zach;Hollingshead;;;USA;;;;;;;
13;47;Classified;17;46:09.705;+12.130;+2.726;10;2:29.846;131.5;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ayden;Kirk;;;USA;;;;;;;
14;14;Classified;17;46:10.379;+12.804;+0.674;16;2:30.363;131.0;Skip Barber Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Alex;Garcia;;;USA;;;;;;;
15;3;Classified;17;46:11.933;+14.358;+1.554;10;2:31.035;130.4;Eagles Canyon Racing Powered by Fast Track;Am;Legends ;GR Cup;Toyota GR86;;;;;;;;;;;;Jason;Kos;;;USA;;;;;;;
