POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP_NAME;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;2;Classified;17;46:59.428;-;-;8;2:31.882;154.4;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Will;Robusto;;;;;;;;;;
2;55;Classified;17;47:01.918;+2.490;+0.179;9;2:31.703;154.6;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Spike;Kohlbecker;;;;;;;;;;
3;98;Classified;17;47:04.351;+4.923;+2.433;16;2:31.723;154.6;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Schweid;;;;;;;;;;
4;7;Classified;17;47:04.354;+4.926;+0.003;12;2:31.931;154.4;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jaxon;Bell;;;;;;;;;;
5;13;Classified;17;47:05.599;+6.171;+1.245;9;2:31.884;154.4;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Westin;Workman;;;;;;;;;;
6;113;Classified;17;47:10.076;+10.648;+4.477;10;2:32.292;154.0;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Tovo;;;;;;;;;;
7;88;Classified;17;47:10.366;+10.938;+0.290;3;2:32.638;153.6;PT Autosport with Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Stallone;;;;;;;;;;
8;46;Classified;17;47:17.705;+18.277;+7.339;3;2:31.705;154.6;Lucas Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Lucas;Weisenberg;;;;;;;;;;
9;51;Classified;17;47:19.327;+19.899;+1.622;9;2:33.144;153.1;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Massimo;Sunseri;;;;;;;;;;
10;58;Classified;17;47:19.478;+20.050;+0.151;9;2:32.823;153.5;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jack;Murchison;;;;;;;;;;
11;03;Classified;17;47:19.753;+20.325;+0.275;14;2:32.938;153.3;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Karl;Forman;;;;;;;;;;
12;21;Classified;17;47:21.734;+22.306;+1.981;10;2:32.559;153.7;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ford;Koch;;;;;;;;;;
