POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;46;Classified;23;46:44.198;-;-;19;1:52.073;123.3;Lucas Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Lucas;Weisenberg;;;USA;;;;;;;
2;13;Classified;23;46:44.350;+0.152;+0.152;17;1:51.724;123.7;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Westin;Workman;;;USA;;;;;;;
3;55;Classified;23;46:45.925;+1.727;+1.575;17;1:51.985;123.4;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Spike;Kohlbecker;;;USA;;;;;;;
4;2;Classified;23;46:46.329;+2.131;+0.404;18;1:52.039;123.3;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Will;Robusto;;;USA;;;;;;;
5;16;Classified;23;46:47.930;+3.732;+1.601;12;1:52.119;123.2;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;John;Dean*;;;USA;;;;;;;
6;78;Classified;23;46:49.079;+4.881;+1.149;17;1:52.020;123.4;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Ayars;;;USA;;;;;;;
7;98;Classified;23;46:52.482;+8.284;+3.403;16;1:52.300;123.0;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Schweid;;;USA;;;;;;;
8;88;Classified;23;47:02.172;+17.974;+9.690;20;1:52.465;122.9;PT Autosport with Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Zach;Hollingshead;;;USA;;;;;;;
9;71;Classified;23;47:04.132;+19.934;+1.960;13;1:52.760;122.5;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Christian;Weir;;;USA;;;;;;;
10;31;Classified;23;47:07.115;+22.917;+2.983;14;1:52.459;122.9;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jackson;Tovo;;;USA;;;;;;;
11;89;Classified;23;47:09.200;+25.002;+2.085;22;1:52.502;122.8;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Livio;Galanti*;;;ITA;;;;;;;
12;50;Classified;23;47:13.536;+29.338;+4.336;22;1:52.948;122.3;Mashore Autobody;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Casey;Mashore;;;USA;;;;;;;
13;113;Classified;23;47:16.698;+32.500;+3.162;13;1:53.303;122.0;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Tovo;;;USA;;;;;;;
14;7;Classified;23;47:18.707;+34.509;+2.009;20;1:52.156;123.2;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jaxon;Bell;;;USA;;;;;;;
15;15;Classified;23;47:26.567;+42.369;+7.860;23;1:53.855;121.4;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Brett;Kowalski;;;USA;;;;;;;
16;93;Classified;23;47:28.070;+43.872;+1.503;20;1:53.915;121.3;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Patrick;Brunson;;;USA;;;;;;;
17;17;Classified;23;47:31.729;+47.531;+3.659;4;1:53.277;122.0;van der Steur Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Miles;Hewitt;;;USA;;;;;;;
18;3;Classified;23;47:32.544;+48.346;+0.815;22;1:54.171;121.0;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jason;Kos*;;;USA;;;;;;;
19;72;Classified;23;47:33.158;+48.960;+0.614;12;1:51.668;123.7;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Goulart;;;USA;;;;;;;
20;73;Classified;23;47:33.691;+49.493;+0.533;10;1:54.289;120.9;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Mike;Lamarra*;;;USA;;;;;;;
21;51;Classified;23;47:34.327;+50.129;+0.636;23;1:53.955;121.3;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Massimo;Sunseri;;;USA;;;;;;;
22;14;Classified;23;47:36.995;+52.797;+2.668;10;1:53.568;121.7;Skip Barber Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Alex;Garcia;;;USA;;;;;;;
23;03;Classified;23;47:37.824;+53.626;+0.829;10;1:54.350;120.8;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Karl;Forman;;;USA;;;;;;;
