CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;LAPS;ELAPSED;GAP_FIRST;GAP_PREVIOUS;BEST_LAP_NUM;BEST_LAP_TIME;BEST_LAP_KPH;
Am;1;1;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;22;45:30.730;;;16;1:52.615;122.7;
Am;2;2;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;22;45:31.553;+0.823;+0.823;16;1:52.521;122.8;
Am;3;3;71;TechSport;Toyota GR86;Christian Weir;22;45:39.417;+8.687;+7.864;19;1:53.063;122.2;
Am;4;4;13;BSI Racing;Toyota GR86;Westin Workman;22;45:41.567;+10.837;+2.150;20;1:52.961;122.3;
Am;5;5;72;TechSport;Toyota GR86;Ethan Goulart;22;45:42.086;+11.356;+0.519;20;1:53.094;122.2;
Am;6;6;50;Mashore Autobody;Toyota GR86;Casey Mashore;22;45:44.882;+14.152;+2.796;17;1:53.456;121.8;
Am;7;7;47;TechSport;Toyota GR86;Ayden Kirk;22;45:46.110;+15.380;+1.228;18;1:53.157;122.1;
Am;8;8;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;22;45:46.319;+15.589;+0.209;20;1:52.833;122.5;
Am;9;9;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;22;45:47.612;+16.882;+1.293;19;1:53.531;121.7;
Am;10;10;14;Skip Barber Racing;Toyota GR86;Alex Garcia;22;45:51.265;+20.535;+3.653;18;1:53.780;121.4;
Am;11;11;89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Livio Galanti;22;45:52.567;+21.837;+1.302;20;1:53.363;121.9;
Am;12;12;98;TechSport;Toyota GR86;Max Schweid;22;45:53.233;+22.503;+0.666;20;1:53.562;121.7;
Am;13;13;15;TechSport;Toyota GR86;Brett Kowalski;22;45:54.865;+24.135;+1.632;20;1:53.858;121.4;
Am;14;14;21;Copeland Motorsports;Toyota GR86;Ford Koch;22;45:56.772;+26.042;+1.907;20;1:53.712;121.5;
Am;15;15;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;22;46:01.795;+31.065;+5.023;20;1:53.218;122.0;
Am;16;16;93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Patrick Brunson;22;46:02.916;+32.186;+1.121;20;1:54.585;120.6;
Am;17;17;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;22;46:07.141;+36.411;+4.225;6;1:54.354;120.8;
Am;18;18;17;van der Steur Racing;Toyota GR86;Miles Hewitt;22;46:07.641;+36.911;+0.500;18;1:54.814;120.3;
Am;19;19;67;BSI Racing;Toyota GR86;Shea Holbrook;22;46:07.981;+37.251;+0.340;20;1:54.908;120.3;
Am;20;20;11;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Farran Davis;22;46:08.982;+38.252;+1.001;20;1:54.919;120.2;
Am;21;21;3;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Jason Kos;22;46:11.269;+40.539;+2.287;20;1:55.321;119.8;
Am;22;22;03;Precision Racing LA;Toyota GR86;Karl Forman;22;46:11.828;+41.098;+0.559;18;1:55.138;120.0;
Am;23;23;51;BSI Racing;Toyota GR86;Massimo Sunseri;22;46:20.967;+50.237;+9.139;20;1:54.314;120.9;
Am;24;24;12;Copeland Motorsports;Toyota GR86;John Lennon;22;46:27.672;+56.942;+6.705;17;1:57.719;117.4;
Am;25;25;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;22;46:31.288;+1'00.558;+3.616;5;1:57.675;117.4;
Am;26;26;88;PT Autosport with Copeland Motorsports;Toyota GR86;Zach Hollingshead;22;46:34.169;+1'03.439;+2.881;20;1:53.541;121.7;
Am;27;27;78;Nitro Motorsports;Toyota GR86;Ethan Ayars;21;43:42.469;1 Laps;1 Laps;17;1:53.081;122.2;
Am;28;28;16;Copeland Motorsports;Toyota GR86;John Dean;21;43:44.568;1 Laps;+2.099;21;1:52.794;122.5;
Am;29;29;73;Precision Racing LA;Toyota GR86;Mike Lamarra;21;47:22.883;1 Laps;+3'38.315;20;1:54.305;120.9;
Am;30;30;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;10;22:18.555;12 Laps;11 Laps;4;1:56.932;118.2;
Am;31;31;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;5;10:28.754;17 Laps;5 Laps;4;1:54.467;120.7;
