POSITION;NUMBER;STATUS;LAPS;TOTAL_TIME;GAP_FIRST;GAP_PREVIOUS;FL_LAPNUM;FL_TIME;FL_KPH;TEAM;CLASS;GROUP_NAME;DIVISION;VEHICLE;TIRES;ECM Participant Id;ECM Team Id;ECM Category Id;ECM Car Id;ECM Brand Id;ECM Country Id;*Extra 7;*Extra 8;*Extra 9;Sort Key;DRIVER_FIRSTNAME;DRIVER_SECONDNAME;DRIVER_LICENSE;DRIVER_HOMETOWN;DRIVER_COUNTRY;DRIVER_SHORTNAME;DRIVER_ECM Driver Id;DRIVER_ECM Country Id;DRIVER_*Extra 3;DRIVER_*Extra 4;DRIVER_*Extra 5;
1;72;Classified;20;45:41.760;-;-;10;2:08.511;147.4;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Goulart;;;USA;;;;;;;
2;46;Classified;20;45:41.975;+0.215;+0.215;9;2:08.542;147.4;Lucas Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Lucas;Weisenberg;;;USA;;;;;;;
3;13;Classified;20;45:42.948;+1.188;+0.973;10;2:08.432;147.5;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Westin;Workman;;;USA;;;;;;;
4;7;Classified;20;45:43.217;+1.457;+0.269;8;2:08.776;147.1;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jaxon;Bell;;;USA;;;;;;;
5;55;Classified;20;45:48.537;+6.777;+5.320;9;2:08.497;147.4;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Spike;Kohlbecker;;;USA;;;;;;;
6;21;Classified;20;45:59.167;+17.407;+10.630;6;2:09.321;146.5;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ford;Koch;;;USA;;;;;;;
7;31;Classified;20;45:59.592;+17.832;+0.425;7;2:09.029;146.8;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jackson;Tovo;;;USA;;;;;;;
8;2;Classified;20;46:00.975;+19.215;+1.383;16;2:09.057;146.8;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Will;Robusto;;;USA;;;;;;;
9;111;Classified;20;46:01.897;+20.137;+0.922;20;2:09.345;146.5;RVA Graphics Motorsports by Speed Syndicate;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Isabella;Robusto;;;USA;;;;;;;
10;88;Classified;20;46:03.914;+22.154;+2.017;8;2:09.590;146.2;PT Autosport with Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Stallone;;;USA;;;;;;;
11;5;Classified;20;46:12.701;+30.941;+8.787;11;2:10.177;145.5;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Beltre;Curtis;;;USA;;;;;;;
12;41;Classified;20;46:29.573;+47.813;+16.872;8;2:10.398;145.3;Copeland Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Jenson;Sofronas;;;USA;;;;;;;
13;03;Classified;20;46:29.838;+48.078;+0.265;15;2:09.877;145.9;Precision Racing LA;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Karl;Forman;;;USA;;;;;;;
14;113;Classified;20;46:34.974;+53.214;+5.136;8;2:09.373;146.4;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Tovo;;;USA;;;;;;;
15;61;Classified;20;46:52.978;+1:11.218;+18.004;11;2:12.349;143.1;Skip Barber Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;James;Klimas;;;USA;;;;;;;
16;51;Classified;20;47:01.999;+1:20.239;+9.021;18;2:11.208;144.4;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Massimo;Sunseri;;;USA;;;;;;;
17;80;Classified;20;47:05.251;+1:23.491;+3.252;11;2:10.879;144.8;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Paityn;Feyen;;;USA;;;;;;;
18;12;Classified;20;47:32.432;+1:50.672;+27.181;8;2:13.822;141.6;BSI Racing;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;John;Lennon;;;USA;;;;;;;
19;71;Classified;20;47:38.348;+1:56.588;+5.916;8;2:09.114;146.7;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Christian;Weir;;;USA;;;;;;;
20;93;Classified;19;44:20.182;1 Lap;1 Lap;14;2:11.154;144.4;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Patrick;Brunson;;;USA;;;;;;;
21;15;Classified;11;29:22.615;9 Laps;8 Laps;5;2:09.654;146.1;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Brett;Kowalski;;;USA;;;;;;;
22;98;Classified;4;11:42.909;16 Laps;7 Laps;2;2:15.206;140.1;TechSport;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Max;Schweid;;;USA;;;;;;;
23;89;Classified;1;2:48.313;19 Laps;3 Laps;0;;;Eagles Canyon Racing Powered by Fast Track;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Livio;Galanti;;;ITA;;;;;;;
;78;Not started;0;;;;0;;;Nitro Motorsports;Am;;GR Cup;Toyota GR86;;;;;;;;;;;;Ethan;Ayars;;;USA;;;;;;;
