CLASS_TYPE;POS;PIC;NUMBER;TEAM;VEHICLE;DRIVER;LAPS;ELAPSED;GAP_FIRST;GAP_PREVIOUS;BEST_LAP_NUM;BEST_LAP_TIME;BEST_LAP_KPH;
Am;1;1;72;TechSport;Toyota GR86;Ethan Goulart;20;45:41.760;;;10;2:08.511;147.4;
Am;2;2;46;Lucas Racing;Toyota GR86;Lucas Weisenberg;20;45:41.975;+0.215;+0.215;9;2:08.542;147.4;
Am;3;3;13;BSI Racing;Toyota GR86;Westin Workman;20;45:42.948;+1.188;+0.973;10;2:08.432;147.5;
Am;4;4;7;Copeland Motorsports;Toyota GR86;Jaxon Bell;20;45:43.217;+1.457;+0.269;8;2:08.776;147.1;
Am;5;5;55;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Spike Kohlbecker;20;45:48.537;+6.777;+5.320;9;2:08.497;147.4;
Am;6;6;21;Copeland Motorsports;Toyota GR86;Ford Koch;20;45:59.167;+17.407;+10.630;6;2:09.321;146.5;
Am;7;7;31;Nitro Motorsports;Toyota GR86;Jackson Tovo;20;45:59.592;+17.832;+0.425;7;2:09.029;146.8;
Am;8;8;2;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Will Robusto;20;46:00.975;+19.215;+1.383;16;2:09.057;146.8;
Am;9;9;111;RVA Graphics Motorsports by Speed Syndicate;Toyota GR86;Isabella Robusto;20;46:01.897;+20.137;+0.922;20;2:09.345;146.5;
Am;10;10;88;PT Autosport with Copeland Motorsports;Toyota GR86;Max Stallone;20;46:03.914;+22.154;+2.017;8;2:09.590;146.2;
Am;11;11;113;Nitro Motorsports;Toyota GR86;Ethan Tovo;20;46:04.974;+23.214;+1.060;8;2:09.373;146.4;
Am;12;12;5;Copeland Motorsports;Toyota GR86;Beltre Curtis;20;46:12.701;+30.941;+7.727;11;2:10.177;145.5;
Am;13;13;41;Copeland Motorsports;Toyota GR86;Jenson Sofronas;20;46:29.573;+47.813;+16.872;8;2:10.398;145.3;
Am;14;14;03;Precision Racing LA;Toyota GR86;Karl Forman;20;46:29.838;+48.078;+0.265;15;2:09.877;145.9;
Am;15;15;61;Skip Barber Racing;Toyota GR86;James Klimas;20;46:52.978;+1'11.218;+23.140;11;2:12.349;143.1;
Am;16;16;51;BSI Racing;Toyota GR86;Massimo Sunseri;20;47:01.999;+1'20.239;+9.021;18;2:11.208;144.4;
Am;17;17;80;Nitro Motorsports;Toyota GR86;Paityn Feyen;20;47:05.251;+1'23.491;+3.252;11;2:10.879;144.8;
Am;18;18;12;BSI Racing;Toyota GR86;John Lennon;20;47:32.432;+1'50.672;+27.181;8;2:13.822;141.6;
Am;19;19;71;TechSport;Toyota GR86;Christian Weir;20;47:38.348;+1'56.588;+5.916;8;2:09.114;146.7;
Am;20;20;93;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Patrick Brunson;19;44:20.182;1 Laps;1 Laps;14;2:11.154;144.4;
Am;21;21;15;TechSport;Toyota GR86;Brett Kowalski;11;29:22.615;9 Laps;8 Laps;5;2:09.654;146.1;
Am;22;22;98;TechSport;Toyota GR86;Max Schweid;4;11:12.909;16 Laps;7 Laps;2;2:15.206;140.1;
Am;23;23;89;Eagles Canyon Racing Powered by Fast Track;Toyota GR86;Livio Galanti;1;2:18.313;19 Laps;3 Laps;0;;;
Am;24;24;78;Nitro Motorsports;Toyota GR86;Ethan Ayars;0;;20 Laps;1 Laps;0;;;
